preload_amp,ankle,knee,lift_height,steps,reason,left_clearance,right_clearance,left_air_steps,left_air_swing,left_air_return,left_air_streak,first_air_step,last_air_step,left_force_min,left_force_ratio,min_up_z,support_slip,max_root_ang_vel,final_x,final_y,final_x_velocity,final_y_velocity
0.16,-0.09,0.0,0.012,520,max_steps,0.04709283027346525,0.007407773999467418,70,0,70,65,441,520,70.22707195496058,0.23636327442685703,0.97537467125307,0.1722762200857192,0.33901865007885224,-0.007079059894667703,-0.1861928676965585,0.005188970007804732,-0.22148486741011053
0.16,-0.06,0.0,0.012,520,max_steps,0.016497161869653672,0.004811553468751617,61,0,61,60,454,520,68.9599180650724,0.2111875848818929,0.9970325782811298,0.1834741685973495,0.2412797832766152,0.00016589812620754885,-0.05983415220082067,0.013526618817234512,0.22108418808736605
0.16,0.045,0.0,0.012,520,max_steps,0.017081147371736827,0.004859291191067358,58,0,58,56,455,520,57.43176104450656,0.17927270416075808,0.9968416864866176,0.17789378835445369,0.20375355225036895,-0.010977075613782684,-0.06261506039330914,-0.036075134505278064,0.20877109169633057
0.16,0.06,0.0,0.012,520,max_steps,0.06082943580972122,0.008635738696490182,66,0,66,65,450,520,40.18527177048999,0.12789649749427,0.9559540317652744,0.16295832934356588,0.5932740615997797,-0.0019110194653484086,-0.24340513171227085,0.023929439791671378,-0.4136415093658659
0.16,-0.09,-0.004,0.012,520,max_steps,0.04815844457275305,0.007507621995665716,71,0,71,67,445,520,59.9754330093716,0.2026384609735526,0.9741260346945642,0.17209692425062936,0.35854557822818084,-0.007785499302677434,-0.1904240905859107,0.005854088666271358,-0.23664201120111167
0.16,-0.06,-0.004,0.012,520,max_steps,0.017172041073848843,0.004851551782707755,65,0,65,62,455,520,69.19845106761093,0.211526413577685,0.9968184903208805,0.18319484568072225,0.24233476196413042,5.853160523635093e-05,-0.06353750483552349,0.014270913087044397,0.20819577821685356
0.16,0.045,-0.004,0.012,520,max_steps,0.014793770995302366,0.004720949292380705,57,0,57,55,453,520,61.037800661123185,0.18991866512109423,0.9975377680904889,0.17906553130228667,0.25774657655663785,-0.01163724060320774,-0.049750960204674004,-0.03704002368444242,0.25360953996822244
0.16,0.06,-0.004,0.012,520,max_steps,0.05218729476930754,0.007881458272809415,65,0,65,65,456,520,48.880431232800014,0.1509270247430765,0.968695256745944,0.16615128390519227,0.43219506885981457,-0.004576402577486429,-0.207251441600835,0.006789118355211609,-0.29302683198352225
0.17,-0.09,0.0,0.008,462,y_position_limit,0.024504890465574428,0.009131607584099102,37,3,34,28,400,462,0.0,0.0,0.9595321983546266,0.14177180056611952,0.9891577237864531,-0.040291108281300815,-0.304694458131245,-0.06777873006095232,-0.6192890702905764
0.17,-0.06,0.0,0.008,484,y_position_limit,0.04451484137126448,0.009347533797351787,48,1,47,43,420,484,0.0,0.0,0.9506874702465974,0.13852837117294112,0.988971719888744,-0.018368390258312748,-0.30257384625547756,-0.033425950764370944,-0.5974599681354955
