ankle,knee,hip,lift_height,steps,reason,left_clearance,right_clearance,left_air_steps,left_air_streak,first_air_step,last_air_step,left_force_min,left_force_ratio,min_up_z,support_slip,max_root_ang_vel,final_x,final_y,final_x_velocity,final_y_velocity
-0.03,0.0,0.0,0.01,520,max_steps,0.004699217602283728,0.00394890829594504,0,0,-1,-1,75.53863626212413,0.2310147716011679,0.9978812326317708,0.04807117192788538,0.10281045396968327,-8.560708655368128e-05,-0.11876542582894181,0.00318023135372988,-0.0501167062641602
0.0,0.0,0.0,0.01,520,max_steps,0.00460838243338095,0.0037125894700077156,0,0,-1,-1,79.1230943776055,0.24192811763508493,0.9981959412234663,0.03271668515686105,0.031612002852616304,-0.00033659739685269876,-0.1113187140539272,0.000643470210700784,-0.03737126969517539
0.03,0.0,0.0,0.01,520,max_steps,0.00474570186414925,0.004118314146916782,0,0,-1,-1,74.08375193562229,0.22663784457145167,0.9976177838491297,0.046975460838087554,0.10175945652974705,-0.0004493447921717471,-0.12292757299326985,-0.002601019291372752,-0.06371924638804682
0.045,0.0,0.0,0.01,520,max_steps,0.005159924012452244,0.005352207538299042,2,1,504,517,62.518989526282816,0.19423599022159535,0.994829475501966,0.10110271493258635,0.1864697565435596,-0.0003945653294761967,-0.16205275573311448,0.00030265015750604636,-0.17644544099611584
0.06,0.0,0.0,0.01,520,max_steps,0.014217320677949855,0.008241066108925825,38,28,474,520,31.903562423226475,0.10621370354617493,0.9724651369544195,0.1109310923046775,0.7241995186190411,0.003080963512815332,-0.2740317068387695,0.04643826708082379,-0.5343059653908683
-0.09,-0.004,0.0,0.01,520,max_steps,0.0125849252401347,0.007878976034373486,36,18,452,520,69.36512699622102,0.2121856304168111,0.9773841240874224,0.11671901148395282,0.6255402772956942,0.002119473870395545,-0.25802610967173834,0.0008499522775006805,-0.4862372585382428
-0.06,-0.004,0.0,0.01,520,max_steps,0.005340002472327347,0.0052436712993283036,5,2,473,518,51.90236433103755,0.17453817991733309,0.9951235648999345,0.08489969504772828,0.23545289616707157,0.001726503552582584,-0.16008288574639162,0.005517189383572611,-0.16613553364069497
-0.03,-0.004,0.0,0.01,520,max_steps,0.0047055530694902065,0.003977622392852646,0,0,-1,-1,75.06933968592959,0.2295834053630983,0.9978387262278497,0.06053150621380699,0.11241431234657627,-8.245351292164615e-05,-0.11962125270179233,0.0035855263082632508,-0.05225796609452532
0.0,-0.004,0.0,0.01,520,max_steps,0.004611369713657172,0.0037189338700263225,0,0,-1,-1,78.93678652603103,0.24135901289076922,0.9981886246892483,0.03271668515686105,0.031612002852616304,-0.0002914617731035199,-0.1115078872998857,0.001103739756606746,-0.037575787098461044
0.03,-0.004,0.0,0.01,520,max_steps,0.004739930342088285,0.004067192003491676,0,0,-1,-1,58.280779519086934,0.19303092848216868,0.9976969881043026,0.04555141107438518,0.09478481276866241,-0.0003946558955627257,-0.12150603841208998,-0.0023431375051486225,-0.05926140547004927
