preload_amp,knee_bias,steps,reason,max_right_clearance,max_left_clearance,right_air_steps,right_air_streak,min_up_z,max_root_ang_vel,support_slip,final_x,final_y,final_x_velocity,final_y_velocity,right_force_ratio,phase_min_force,right_force_min,left_force_at_min,right_contacts_at_min,left_contacts_at_min,right_clear_at_min,left_clear_at_min,up_z_at_min,x_at_min,y_at_min
0.038,0.004,520,max_steps,0.005642196861110921,0.011528916814563805,0,0,0.9689590977745641,0.429905967473022,0.0189501496190811,0.16093413186071334,-0.048254382343449954,0.2585167743017295,-0.22003435748804068,0.13067175456437136,0.5788461538461539,32.4424922815284,215.832220105123,1,2,0.004038322536259194,0.0025220668809086758,0.9997969954904781,0.009596789272832385,0.06216467325513187
0.038,0.006,520,max_steps,0.005642196861110921,0.027669535634471623,0,0,0.9110875870257034,1.004665307862868,0.047382298912445976,0.27230164844526955,-0.12819213977128344,0.622955468705621,-0.4080224653161932,0.13404533816669453,0.5596153846153846,33.432195618100984,215.97741515497762,1,2,0.00412273418761365,0.002566966288445237,0.999834226049393,0.008927567036278238,0.06253545784744959
0.042,0.0,520,max_steps,0.0056469237661885135,0.0037291681107535363,0,0,0.9835655166768604,0.256759975533777,0.013638885588261374,0.09936986203828316,-0.015780709806639474,0.0711348459624904,-0.12943956217428643,0.0882605555476548,0.6634615384615384,20.776304281995756,214.62108420122019,1,2,0.003347443703264015,0.0021793624686549384,0.9992155610298978,0.012311241926276043,0.05849308734779749
0.042,0.002,520,max_steps,0.0056469237661885135,0.011287755734447721,0,0,0.9615471645949684,0.4788304742508577,0.02116112023681274,0.1579653622187676,-0.07615936507932082,0.26204969834848824,-0.275997069664873,0.07168882346963687,0.6461538461538461,16.756947167050825,216.9886543931153,1,2,0.003465260934522707,0.0022106287617789933,0.9992611019668736,0.010903157318984303,0.0584980749338541
0.042,0.004,520,max_steps,0.0056469237661885135,0.029249697615378906,0,0,0.8903199893648261,1.0179327751735865,0.0749367200954133,0.2774845410092549,-0.16967205881327363,0.6629701139323662,-0.44557191727759227,0.06940614789731042,0.6211538461538462,16.35528912319479,219.29082607964276,1,2,0.0035848282446400495,0.0023143305342462894,0.9994008987826593,0.009512083709286632,0.0601888576193897
0.042,0.006,514,x_position_limit,0.032475999615937515,0.056457385446716746,0,0,0.7994049324291592,1.8810383836789704,0.3822661402441263,0.4221771382734414,-0.2251699889800518,1.1098119175995607,-0.29632724609576994,0.10533716389520094,0.573076923076923,25.621702142657583,217.61346002810674,1,2,0.0037761537988676014,0.0025217144401016994,0.9996544698296825,0.008112065751672708,0.06352546864236643
0.046,0.0,520,max_steps,0.005649847963580014,0.013867445919360871,0,0,0.9396131543393993,0.6402916194545297,0.022876386056920293,0.17227838006781446,-0.1284790965006265,0.32729343947285927,-0.3782389812499838,0.0478569946308633,0.6538461538461539,10.828861041313282,215.44654811966393,1,2,0.003063891805375231,0.0020318017625141835,0.9987105763695895,0.011209455010140347,0.05576170605947041
0.046,0.002,520,max_steps,0.02504268815268286,0.04033295408854004,0,0,0.8503939953219298,1.1378275574277874,0.2805465893644924,0.31878485981048804,-0.22456611713982177,0.8418637111492073,-0.3292517509378957,0.06026676222809505,0.6115384615384616,13.998164791600104,218.2719003998972,1,2,0.003265976998381298,0.002278053112277377,0.9991335412145858,0.008796649228374682,0.06038820385789204
0.046,0.004,510,x_position_limit,0.03975927231437695,0.05315868644766629,0,0,0.7867016737969303,1.905490308705869,0.43732921189604923,0.42342726704176764,-0.24883383369057968,1.1296946007955797,-0.2576434708376756,0.023100101423361583,0.6423076923076922,5.206260480527073,220.17199155008436,1,2,0.00322837843182186,0.0019675086666635783,0.9985665229088383,0.009797860401848045,0.05330116265618294
0.046,0.006,495,x_position_limit,0.041464377812709965,0.05214119914294292,0,0,0.7887095458363873,1.9756268278301437,0.43586446360682307,0.4251250877036096,-0.24879796891673434,1.1287013217018589,-0.25184201905020726,0.10449002576870489,0.551923076923077,25.288592698354353,216.73060973090153,1,2,0.0035734801375199576,0.00253668430546021,0.9995237529378368,0.006839009922924704,0.06459908601970098
