preload_amp,ankle_bias,lift_hold_end,steps,reason,right_clearance,left_clearance,right_air_steps,right_air_streak,first_air_step,last_air_step,right_force_min,right_force_ratio,min_up_z,max_root_ang_vel,support_slip,initial_gap,max_gap,gap_at_landing_end,gap_at_end,gap_end_delta,final_x,final_y,final_x_velocity,final_y_velocity
0.038,-0.08,0.66,520,max_steps,0.033736207456039335,0.003948844206624558,37,36,286,325,0.0,0.0,0.9943958436295506,0.33662334448103054,0.029029808123736817,0.23701291,0.3891455431486027,0.3891455431486027,0.3891455431486027,0.15213263314860273,0.06836639057374767,-0.014393218974898273,0.03178771321293096,-0.03446208408268306
0.038,-0.08,0.68,520,max_steps,0.033736207456039335,0.003948844206624558,37,36,286,325,0.0,0.0,0.99433621467215,0.33662334448103054,0.029207994191678254,0.23701291,0.38922501019521716,0.38922501019521716,0.38922501019521716,0.15221210019521716,0.06907884233719995,-0.014560267167411017,0.03568093761177112,-0.032182914907965814
0.038,-0.075,0.64,520,max_steps,0.033128731503154776,0.003935949180451592,36,34,286,324,0.0,0.0,0.9942277939352563,0.3347853283091722,0.026404168747950367,0.23701291,0.3864139268364393,0.3864139268364393,0.3864139268364393,0.14940101683643933,0.06997860082980818,-0.01619905736505314,0.03004854990370071,-0.03959998115902208
0.038,-0.075,0.66,520,max_steps,0.033128731503154776,0.003935949153378512,36,34,286,324,0.0,0.0,0.9941322309277382,0.3347853283091722,0.028337708398346803,0.23701291,0.38647413993107593,0.38647413993107593,0.38647413993107593,0.14946122993107594,0.07097372634155723,-0.016342286190400825,0.03350556192893648,-0.03758084679454543
0.038,-0.075,0.68,520,max_steps,0.033128731503154776,0.003935949153378512,36,34,286,324,0.0,0.0,0.994038634713809,0.3347853283091722,0.0294212854605347,0.23701291,0.38656423155129055,0.38656423155129055,0.38656423155129055,0.14955132155129056,0.0719151333886507,-0.01648219379298885,0.03747861268721364,-0.03512423781097516
0.038,-0.07,0.64,520,max_steps,0.032522709420868226,0.003824088874098436,32,31,289,324,0.0,0.0,0.9944396362478439,0.3168366155653065,0.02666456685697501,0.23701291,0.3850721215475306,0.3850721215475306,0.3850721215475306,0.14805921154753063,0.06911265926570015,-0.013781167839005775,0.02934711455311741,-0.0404242702862547
0.038,-0.07,0.66,520,max_steps,0.032522709420868226,0.003824088874098436,32,31,289,324,0.0,0.0,0.9943449022596024,0.3168366155653065,0.02886748107333438,0.23701291,0.3851935410160767,0.3851935410160767,0.3851935410160767,0.14818063101607673,0.07002304962080735,-0.013809370128750335,0.03307299335004255,-0.03845339937495555
0.038,-0.07,0.68,520,max_steps,0.032522709420868226,0.003824088874098436,32,31,289,324,0.0,0.0,0.9942820947791489,0.3168366155653065,0.030746437345012992,0.23701291,0.38531855100149737,0.38531855100149737,0.38531855100149737,0.14830564100149737,0.07068009265171746,-0.013857124233550943,0.037087225912136396,-0.03613846762947987
0.04,-0.08,0.64,520,max_steps,0.03530751761172471,0.00412662523300629,40,39,284,328,0.0,0.0,0.9945663493641407,0.33715762821209744,0.026389694552492467,0.23701291,0.4025698914897674,0.4025698914897674,0.4025698914897674,0.1655569814897674,0.059812922336352596,-0.016460135702911275,0.021674808668263705,-0.030490879648164913
0.04,-0.08,0.66,520,max_steps,0.03530751761172471,0.0041266060738359076,40,39,284,328,0.0,0.0,0.9944717168639352,0.33715762821209744,0.026389694552492467,0.23701291,0.4026605247274524,0.4026605247274524,0.4026605247274524,0.1656476147274524,0.06094851956850435,-0.016609213664931063,0.025133659184908036,-0.028454769113568704
0.04,-0.08,0.68,520,max_steps,0.03530751761172471,0.0041266060738359076,40,39,284,328,0.0,0.0,0.9944186763542093,0.33715762821209744,0.026389694552492467,0.23701291,0.4027479653844014,0.4027479653844014,0.4027479653844014,0.1657350553844014,0.06173980420057217,-0.01680059254429092,0.02859691364915022,-0.02597011034474963
